Title,Description
‘We are drinking polluted water’ - Gaza’s water system in chaos,Hundreds of Gaza’s water and sanitation facilities have been damaged or destroyed.
"Special report: May 9, mayhem and military trials — a year on","“ISPR sahib, listen to me carefully. Respect is not [confined] to a single institution; respect should be for every single citizen,” thundered then-PTI chief Imran Khan in a video released a little after 11am before departing for the Islamabad High Court on May 9 last year."
"Special report: May 9, mayhem and military trials — a year on","“ISPR sahib, listen to me carefully. Respect is not [confined] to a single institution; respect should be for every single citizen,” thundered then-PTI chief Imran Khan in a video released a little after 11am before departing for the Islamabad High Court on May 9 last year."
Will it be 1977 or 1999?,"WHAT a dramatic few days these have been, even by Pakistani standards — triggered by the arrest of PTI leader Imran Khan on Tuesday in Islamabad and his triumphant return to Lahore late Friday, after being freed by the courts and given blanket immunity from arrest."
"Only way back for PTI is if it offers earnest apology, forgoes politics of anarchy: DG ISPR","Inter Services Public Relations (ISPR) Director General (DG) Maj-Gen Ahmed Sharif on Tuesday said that any dialogue with the PTI could happen only if it “earnestly apologises publicly in front of the nation”, promises to adopt “constructive politics” and forgoes “politics of anarchy”."
May 9 fallout,"A YEAR since the events of May 9, 2023, very little appears to have changed, at least from the political perspective."
7 barbershop workers from Punjab shot dead in late-night attack in Gwadar’s Surbandar,"Seven barbershop workers were killed and one was injured on Thursday in Surbandar, Gwadar when unknown gunmen entered their residential quarters and opened fire on them while they were sleeping, police officials said."
7 barbershop workers from Punjab shot dead in late-night attack in Gwadar’s Surbandar,"Seven barbershop workers were killed and one was injured on Thursday in Surbandar, Gwadar when unknown gunmen entered their residential quarters and opened fire on them while they were sleeping, police officials said."
Real aim of May 9 riots was to ‘end democracy’ in Pakistan: PM Shehbaz,Prime Minister Shehbaz Sharif on Thursday said that the violent May 9 riots last year after former premier Imran Khan’s arrest were aimed at ending democracy in Pakistan and establishing an “individual’s dictatorship”.
Real aim of May 9 riots was to ‘end democracy’ in Pakistan: PM Shehbaz,Prime Minister Shehbaz Sharif on Thursday said that the violent May 9 riots last year after former premier Imran Khan’s arrest were aimed at ending democracy in Pakistan and establishing an “individual’s dictatorship”.
Israel shells Gaza’s Rafah as Biden warns of arms suspension,"Israel has shelled Rafah as US President Joe Biden offered his starkest warning yet over the conduct of its operation against Hamas, vowing to cut off arms transfers if an offensive into the southern Gaza city goes ahead, AFP reports."
"‘Slow death’: No treatment, medical evacuations for injured Gazans","Sick and wounded Palestinians are dying by the hour as they remain trapped in Gaza without medical care due to Israel’s closure of border crossings, Al Jazeera reports quoting the enclave’s health ministry."
